Id_IDRD,Tipo,Localidad,Nombre,Id,Equipamento,Dotacion,Aprovechamientoeconomico,Area,Material,Cerramiento,Camerino,Capacidad,Carril,Bano
03-035,Parque de escala metropolitano,Santafe,PARQUE NACIONAL (PM-2A) ENRIQUE OLAYA HERRERA ( SECTOR HISTORICO ),13575,CANCHAS DEPORTIVAS,Baloncesto,No,420,Asfalto sin sintetico,Total,No,0,0,0
03-035,Parque de escala metropolitano,Santafe,PARQUE NACIONAL (PM-2A) ENRIQUE OLAYA HERRERA ( SECTOR HISTORICO ),13577,CANCHAS DEPORTIVAS,Fútbol,No,7140,Grama Natural,Total,No,0,0,0
04-127,Parque de escala metropolitano,San Cristobal,SAN CRISTOBAL,11306,CANCHAS DEPORTIVAS,Fútbol,Si,6300,Grama Natural,Total,Si,0,0,0
04-127,Parque de escala metropolitano,San Cristobal,SAN CRISTOBAL,11307,CANCHAS DEPORTIVAS,Fútbol,Si,5250,Grama Sintetica,Total,No,0,0,0
04-127,Parque de escala metropolitano,San Cristobal,SAN CRISTOBAL,11311,CANCHAS DEPORTIVAS,Fútbol,Si,4472,Grama Sintetica,Total,No,0,0,0
04-196,Parque de escala metropolitano,San Cristobal,DEPORTIVO PRIMERO DE MAYO,14593,ESCENARIO DEPORTIVO,COLISEO,,1283,Baldosa,Total,Si,205,0,4
06-063,Parque de escala metropolitano,Tunjuelito,EL TUNAL,12727,ESCENARIO DEPORTIVO,COLISEO,,1366,Granito,Total,Si,450,0,4
06-063,Parque de escala metropolitano,Tunjuelito,EL TUNAL,12793,CANCHAS DEPORTIVAS,Voleibol,Si,630,Asfalto sin sintetico,Total,No,0,0,0
06-063,Parque de escala metropolitano,Tunjuelito,EL TUNAL,12794,CANCHAS DEPORTIVAS,Voleibol,Si,630,Asfalto sin sintetico,Total,No,0,0,0
06-063,Parque de escala metropolitano,Tunjuelito,EL TUNAL,12795,CANCHAS DEPORTIVAS,Voleibol,Si,630,Asfalto sin sintetico,Total,No,0,0,0
06-063,Parque de escala metropolitano,Tunjuelito,EL TUNAL,12796,CANCHAS DEPORTIVAS,Softbol,Si,5250,Grama Natural,Total,No,0,0,0
06-063,Parque de escala metropolitano,Tunjuelito,EL TUNAL,12844,CANCHAS DEPORTIVAS,Voleibol,Si,630,Asfalto con sintetico,Total,No,0,0,0
06-063,Parque de escala metropolitano,Tunjuelito,EL TUNAL,12845,CANCHAS DEPORTIVAS,Voleibol,Si,630,Asfalto sin sintetico,Total,No,0,0,0
06-063,Parque de escala metropolitano,Tunjuelito,EL TUNAL,12846,CANCHAS DEPORTIVAS,Voleibol,Si,630,Asfalto sin sintetico,Total,No,0,0,0
06-063,Parque de escala metropolitano,Tunjuelito,EL TUNAL,12851,CANCHAS DEPORTIVAS,Fútbol,Si,7490,Grama Natural,Total,No,0,0,0
06-063,Parque de escala metropolitano,Tunjuelito,EL TUNAL,12978,CANCHAS DEPORTIVAS,Tennis,Si,666,Asfalto con sintetico,Total,No,0,0,0
06-063,Parque de escala metropolitano,Tunjuelito,EL TUNAL,12979,CANCHAS DEPORTIVAS,Tennis,Si,666,Asfalto con sintetico,Total,No,0,0,0
08-241,Parque de escala metropolitano,Kennedy,CAYETANO CAÐIZARES,13051,ESCENARIO DEPORTIVO,COLISEO CUBIERTO,,2838,Madera,Total,Si,3500,0,8
08-241,Parque de escala metropolitano,Kennedy,CAYETANO CAÐIZARES,13186,CANCHAS DEPORTIVAS,Fútbol,Si,5760,Grama Sintetica,Total,No,0,0,0
08-241,Parque de escala metropolitano,Kennedy,CAYETANO CAÐIZARES,14225,ESCENARIO DEPORTIVO,COLISEO AUXILIAR,,1008,Granito,Total,Si,0,0,0
08-241,Parque de escala metropolitano,Kennedy,CAYETANO CAÐIZARES,14226,ESCENARIO DEPORTIVO,MULTIFUERZA,,70,Granito,Total,Si,0,0,0
08-241,Parque de escala metropolitano,Kennedy,CAYETANO CAÐIZARES,14227,ESCENARIO DEPORTIVO,COLISEO AUXILIAR,,400,Granito,Total,Si,0,0,1
08-241,Parque de escala metropolitano,Kennedy,CAYETANO CAÐIZARES,14228,ESCENARIO DEPORTIVO,COLISEO AUXILIAR,,1008,Granito,Total,Si,0,0,1
